action0|-3494;0.01152716;0.01688433;0.06416709;180.0172;standing;wait|42918;1.653404;-0.9523923;-4.040162;181.5934;none;none|
action0|-3494;-0.001414989;0.01631236;0.03583359;180.0173;standing;wait|42918;1.653298;-0.9523902;-4.040008;181.5976;none;none|
action0|-3494;-0.000794519;0.01629221;-0.001829867;180.0147;standing;wait|42918;1.653788;-0.9523972;-4.041535;181.5741;none;none|
action0|-2268;1.481169;-0.9228467;-3.151;180.0003;standing;wait|-11700;1.63818;-0.9520856;-4.031795;182.1263;none;none|
action0|-2268;1.481169;-0.9228467;-3.151;180.0003;standing;wait|-11700;1.652677;-0.9523881;-4.040314;181.6171;none;none|
action0|-2268;1.481169;-0.9228467;-3.151;180.0003;standing;wait|-11700;1.653035;-0.9523858;-4.041109;181.6009;none;none|
action0|-2268;1.481169;-0.9228467;-3.151;180.0003;standing;wait|-11700;1.653253;-0.9523851;-4.041409;181.5917;none;none|
action0|-2268;1.481169;-0.9228467;-3.151;180.0003;standing;wait|-11700;1.653476;-0.9523183;-4.04315;181.5736;none;none|
action0|-2268;1.481169;-0.9228467;-3.151;180.0003;standing;wait|-11700;1.646523;-0.9512305;-4.040852;181.7903;none;none|
action0|-2268;1.481169;-0.9228467;-3.151;180.0003;standing;wait|-11700;1.661896;-0.9521676;-4.004753;181.2975;none;none|
action0|-2268;1.481169;-0.9228467;-3.151;180.0003;standing;wait|-11700;1.635929;-0.950935;-4.004801;182.21;none;none|
action0|-2268;1.481169;-0.9228467;-3.151;180.0003;none;jump|-11700;1.653715;-0.9523939;-4.042472;181.571;none;none|
action0|-2268;1.481169;-0.9228467;-3.151;180.0003;none;stop play|-11700;1.653214;-0.9523997;-4.041399;181.5927;none;none|
action0|-2268;1.481169;-0.9228467;-3.151;180.0003;none;play|-11700;1.618973;-0.9523997;-3.520683;186.2597;none;none|
action0|-2268;1.481169;-0.9228467;-3.151;180.0003;none;play|-11700;1.652176;-0.9523976;-4.038595;181.6232;none;none|
action0|-2268;1.481169;-0.9228467;-3.151;180.0003;none;stop play|-11700;1.631625;-0.9523991;-4.029694;182.3125;none;none|
action0|-2268;1.481169;-0.9228467;-3.151;180.0003;none;smile|-11700;1.649267;-0.9523978;-4.037459;181.7508;none;none|
